id,contracting_authority_name,url,address_id
252,Hasičský záchranný sbor Ústeckého kraje,https://nen.nipez.cz/profil/HZS_UK,1707
253,Město Nová Včelnice,https://nen.nipez.cz/profil/novavcelnice,1756
254,Městský obvod Pardubice V,https://nen.nipez.cz/profil/pardubice5,1773
255,Obec Řevničov,https://nen.nipez.cz/profil/obecRevnicov,1775
256,Hasičský záchranný sbor Královéhradeckého kraje,https://nen.nipez.cz/profil/hzs_khk,1776
257,"TRAFIN OIL, a.s.",https://nen.nipez.cz/profil/trafinoil,1778
258,Lázně Bělohrad a.s.,https://nen.nipez.cz/profil/belohrad,1787
259,Český metrologický institut,https://nen.nipez.cz/profil/CMI,1790
260,Město Bechyně,https://nen.nipez.cz/profil/bechyne,426
261,Kulturní a informační služby města Přerova,https://nen.nipez.cz/profil/kismpr,1846
262,Městský obvod Pardubice IV,https://nen.nipez.cz/profil/pardubice4,1851
263,NH Hospital a.s.,https://nen.nipez.cz/profil/nhhospital,1858
264,Muzeum Jana Amose Komenského v Uherském Brodě,https://nen.nipez.cz/profil/MJAKUB,1859
265,Hasičský záchranný sbor hlavního města Prahy,https://nen.nipez.cz/profil/Prahy,1865
266,Obec Pazderna,https://nen.nipez.cz/profil/00577073,1871
267,Památník národního písemnictví,https://nen.nipez.cz/profil/PNP,1872
268,Husitské muzeum v Táboře,https://nen.nipez.cz/profil/HMT,1877
269,Česká republika - Ministerstvo životního prostředí,https://nen.nipez.cz/profil/MZP,1878
270,Obec Lestkov,https://nen.nipez.cz/profil/Lestkov,1883
271,Obec Březnice,https://nen.nipez.cz/profil/breznice,1885
272,Město Jesenice,https://nen.nipez.cz/profil/mestojesenice,1897
273,Obec Rantířov,https://nen.nipez.cz/profil/obecrantirov,1911
274,Město Třemošná,https://nen.nipez.cz/profil/MestoTremosna,1919
275,OBEC ČERNILOV,https://nen.nipez.cz/profil/Cernilov,1936
276,Krajské ředitelství policie Zlínského kraje,https://nen.nipez.cz/profil/KRPZLK,1958
277,Okresní soud ve Vsetíně,https://nen.nipez.cz/profil/OSSEMVS,1121
278,Obec Šimonovice,https://nen.nipez.cz/profil/ObecSimonovice,1967
279,Obec Vyskytná nad Jihlavou,https://nen.nipez.cz/profil/VyskytnanadJihlavou,1971
280,"14l15 Baťův institut, příspěvková organizace",https://nen.nipez.cz/profil/1415BI,1993
281,Národní technické muzeum,https://nen.nipez.cz/profil/NTM1,1995
282,"ZOO a zámek Zlín - Lešná, příspěvková organizace",,2003
283,Obec Suchý,https://nen.nipez.cz/profil/obecsuchy,2007
284,"Řízení letového provozu České republiky, státní podnik (ŘLP ČR, s.p.)",https://nen.nipez.cz/profil/RLPCR,2022
285,Česká průmyslová zdravotní pojišťovna,https://nen.nipez.cz/profil/CPZP,2027
286,Správa úložišť radioaktivních odpadů,https://nen.nipez.cz/profil/surao,2037
287,Státní úřad pro jadernou bezpečnost,https://nen.nipez.cz/profil/SUJB,2043
288,Česká geologická služba,https://nen.nipez.cz/profil/CGS,2062
289,OBEC PĚČÍN,https://nen.nipez.cz/profil/obecpecin,2066
290,Město Kouřim,https://nen.nipez.cz/profil/mestokourim,2088
291,Město Frenštát pod Radhoštěm,https://nen.nipez.cz/profil/00297852,2105
292,Uměleckoprůmyslové museum v Praze,https://nen.nipez.cz/profil/UPM,2112
293,Obec Luženičky,https://nen.nipez.cz/profil/obecluzenicky,2118
294,Obec Lichnov,https://nen.nipez.cz/profil/Obec_Lichnov,2121
295,Obec Prusy-Boškůvky,https://nen.nipez.cz/profil/PrusyBoskuvky,2139
296,Město Orlová,https://nen.nipez.cz/profil/MESTOORLOVA,2147
297,Gymnázium Uherské Hradiště,https://nen.nipez.cz/profil/GUH,2154
298,Nemocnice Šumperk a.s.,https://nen.nipez.cz/profil/nemocnicesumperk,2174
299,Obec Klínec,https://nen.nipez.cz/profil/obecklinec,2204
300,Střední odborné učiliště Valašské Klobouky,https://nen.nipez.cz/profil/SOUVK,2213
301,Ministerstvo kultury,https://nen.nipez.cz/profil/mkcr,2215
302,Obec Římov,https://nen.nipez.cz/profil/obecrimov,2222
303,"Obecný zájem, z.ú.",https://nen.nipez.cz/profil/obecnyzajem,2236
304,Město Příbram,https://nen.nipez.cz/profil/MeUPB,2254
305,Hasičský záchranný sbor kraje Vysočina,https://nen.nipez.cz/profil/Hasi,2264
306,Obec Radenín,https://nen.nipez.cz/profil/ObecRadenin,2266
307,Krajský soud v Plzni,https://nen.nipez.cz/profil/ProfilKSPM,2268
308,LOM PRAHA s.p.,https://nen.nipez.cz/profil/00000515,633
309,"Slovácké muzeum v Uherském Hradišti, příspěvková organizace",https://nen.nipez.cz/profil/slovackemuzeum,2277
310,"Mateřská škola Píšťalka, Přerov, Máchova 8",,2282
311,Okresní soud v Kolíně,https://nen.nipez.cz/profil/SOUKO,2283
312,Centrum sociálních služeb Tloskov,https://nen.nipez.cz/profil/CSS_Tloskov,2294
313,Obec Bušín,https://nen.nipez.cz/profil/ObecBusin,2301
314,Obec Choťánky,https://nen.nipez.cz/profil/chotanky,2063
315,Městys Vysoký Chlumec,https://nen.nipez.cz/profil/MVCH,2307
316,Tělocvičná jednota Sokol Písková Lhota,https://nen.nipez.cz/profil/TJ_Sokol_PL,2311
352,Obec Kyšice,https://nen.nipez.cz/profil/Kysice,2354
353,Ministerstvo průmyslu a obchodu,https://nen.nipez.cz/profil/MPO,2368
354,Katastrální úřad pro hlavní město Prahu,https://nen.nipez.cz/profil/KUPH,754
355,Obec Kuklík,https://nen.nipez.cz/profil/ObecKuklik,2391
356,Krajský soud v Ústí nad Labem,https://nen.nipez.cz/profil/KSUL,2408
357,Obec Všekary,https://nen.nipez.cz/profil/obecvsekary,2420
358,Městys Podhradí,https://nen.nipez.cz/profil/Podhradi,2428
359,Zeměměřický úřad,https://nen.nipez.cz/profil/ZU,754
360,Ministerstvo zemědělství,https://nen.nipez.cz/profil/MZe,2431
361,Centrum sociálních služeb Hrabyně,https://nen.nipez.cz/profil/csshrabyne,2445
362,Biskupství ostravsko-opavské,https://nen.nipez.cz/profil/65468953,2455
363,"Střední škola, základní škola a mateřská škola pro sluchově postižené, Praha 5, Holečkova 4",https://nen.nipez.cz/profil/SKOLAHOLECKOVA,2465
364,Obec Mladějovice,,2472
365,Katastrální úřad pro Plzeňský kraj,https://nen.nipez.cz/profil/KUPL,2486
366,Církevní základní škola a mateřská škola Třinec,https://nen.nipez.cz/profil/CZSaMSTrinec,2489
367,Obec Žatčany,https://nen.nipez.cz/profil/ObecZatcany,2499
368,Muzeum umění Olomouc,https://nen.nipez.cz/profil/MUO,2502
369,Správa Krkonošského národního parku,https://nen.nipez.cz/profil/krnap,2516
370,Okresní soud ve Zlíně,https://nen.nipez.cz/profil/OSZlin,2522
371,Česká školní inspekce,https://nen.nipez.cz/profil/CSI,2526
372,Město Nýrsko,https://nen.nipez.cz/profil/MestoNyrsko,2538
373,Město Lipník nad Bečvou,https://nen.nipez.cz/profil/mestolipnik,2545
374,KIGMAX HRANICE s.r.o.,https://nen.nipez.cz/profil/KIGMAXHRANICE,2550
375,Obec Želiv,https://nen.nipez.cz/profil/obeczeliv,2552
376,Agentura pro podporu podnikání a investic CzechInvest,https://nen.nipez.cz/profil/CzechInvest,528
377,"Zoologická zahrada Tábor, a.s.",https://nen.nipez.cz/profil/zootabor,2564
378,Katastrální úřad pro Ústecký kraj,https://nen.nipez.cz/profil/KUUL,2565
379,"DH Liberec, o.p.s.",https://nen.nipez.cz/profil/DomovHarcov,2568
380,Katastrální úřad pro Moravskoslezský kraj,https://nen.nipez.cz/profil/KUMS,2580
381,"Mohelnické kulturní a sportovní centrum, s.r.o.",https://nen.nipez.cz/profil/mksc,2590
382,"Krajská nemocnice Liberec, a.s.",https://nen.nipez.cz/profil/KNL,2600
383,Obec Maleč,https://nen.nipez.cz/profil/Malec,2602
384,Zemský archiv v Opavě,https://nen.nipez.cz/profil/zemarch,2603
385,"Čistírna - zájmové sdružení obcí Město Touškov, Kozolupy, Bdeněves",https://nen.nipez.cz/profil/cistirna_MT_K_B,2617
386,"Sociální služby Lipník nad Bečvou, příspěvková organizace",https://nen.nipez.cz/profil/socslulnb,2623
387,Památník Terezín,https://nen.nipez.cz/profil/pamter,2629
388,Městská část Praha 22,,2655
389,Obec Březová,https://nen.nipez.cz/profil/00233153,2658
390,Obec Puklice,https://nen.nipez.cz/profil/obecpuklice,2660
391,Biskupské gymnázium,https://nen.nipez.cz/profil/Bigy,2662
392,Obec Dolní Němčí,https://nen.nipez.cz/profil/obecDolniNemci,2671
393,Národní technická knihovna,https://nen.nipez.cz/profil/NTK,2681
394,Obec Mutěnice,https://nen.nipez.cz/profil/mutenice,2685
395,Střední odborné učiliště Uherský Brod,https://nen.nipez.cz/profil/SOUUB,174
396,Obec Kvilda,https://nen.nipez.cz/profil/obecKvilda,2710
397,Moravské zemské muzeum,https://nen.nipez.cz/profil/mzmnen,2739
398,"Ředitelství silnic Zlínského kraje,příspěvková organizace",https://nen.nipez.cz/profil/RSZK,2749
399,Střední odborná škola požární ochrany a Vyšší odborná škola požární ochrany,https://nen.nipez.cz/profil/SOSPO,2764
400,Obec Stěbořice,https://nen.nipez.cz/profil/steborice,2773
401,Město Újezd u Brna,https://nen.nipez.cz/profil/mestoujezdubrna,2778
402,Krajská hygienická stanice Jihomoravského kraje se sídlem v Brně,https://nen.nipez.cz/profil/KHSJmK,2799
403,Obec Bezděkov nad Metují,https://nen.nipez.cz/profil/BezdekovnM,2805
404,Obalovna Louny s.r.o.,https://nen.nipez.cz/profil/ObalovnaLouny,84
405,Centrum pro regionální rozvoj České republiky,https://nen.nipez.cz/profil/CENTRUM,2811
406,Obec Albrechtice,https://nen.nipez.cz/profil/Obec_Albrechtice,2820
407,"SK Horní Staré Město, z.s.",https://nen.nipez.cz/profil/sk_hsm,2831
408,Státní fond životního prostředí České republiky,https://nen.nipez.cz/profil/sfzp,901
409,Město Ždánice,,2838
410,Obec Opařany,https://nen.nipez.cz/profil/obecoparany,2839
411,"Domov pro seniory Burešov, příspěvková organizace",https://nen.nipez.cz/profil/dsburesov,2849
412,Obec Metylovice,https://nen.nipez.cz/profil/ObecMetylovice,2851
413,Obec Dobřejovice,https://nen.nipez.cz/profil/dobrejovice,2855
414,Město Nové Město pod Smrkem,https://nen.nipez.cz/profil/NMpS,2863
415,Obec Bukovany,https://nen.nipez.cz/profil/obecbukovany,2866
416,Státní úřad inspekce práce,https://nen.nipez.cz/profil/suip_cz,2876
417,Obec Olšany,https://nen.nipez.cz/profil/Olsany,2890
418,Okresní soud v Trutnově,https://nen.nipez.cz/profil/soutu,2898
419,Městské vodovody a kanalizace Skuteč s.r.o.,https://nen.nipez.cz/profil/LEOPOSMEST2,2910
420,"Industry Servis ZK, a.s.",https://nen.nipez.cz/profil/ISZK,2916
421,Město Skuteč,https://nen.nipez.cz/profil/LEOPOSMEST1,2910
422,Obec Bohdalice - Pavlovice,https://nen.nipez.cz/profil/00291641,2920
423,Charita Veselí nad Moravou,https://nen.nipez.cz/profil/CharitaVnM,2923
424,"Zdravotnická záchranná služba Zlínského kraje, příspěvková organizace",https://nen.nipez.cz/profil/ZZSZK,2927
425,Obec Jinačovice,https://nen.nipez.cz/profil/jinacovice,2928
426,Rehabilitační ústav Kladruby,https://nen.nipez.cz/profil/RUKladruby,2936
427,Odborné učiliště Kelč,https://nen.nipez.cz/profil/OUK,2955
428,"Potravinová banka Pardubice, z. s.",https://nen.nipez.cz/profil/PotravbankaPardubice,2964
429,Oblastní charita Nové Hrady u Skutče,https://nen.nipez.cz/profil/charita_NH,2964
430,Gymnázium Zlín - Lesní čtvrť,https://nen.nipez.cz/profil/00559105,2967
431,"Ústav fyzikální chemie J. Heyrovského AV ČR, v.v.i.",https://nen.nipez.cz/profil/UFCHJH,2969
432,"Teplárna České Budějovice, a.s.",https://nen.nipez.cz/profil/TCB,2979
433,Obec Staříč,https://nen.nipez.cz/profil/Staric,2993
434,Státní veterinární správa,https://nen.nipez.cz/profil/svscr,3020
435,"RBP, zdravotní pojišťovna",https://nen.nipez.cz/profil/RBPzadavatel,3044
436,Obec Slavětín,https://nen.nipez.cz/profil/Slavetin,3046
437,Moravský zemský archiv v Brně,https://nen.nipez.cz/profil/MZA_v_Brne,3047
438,"Státní ústav jaderné, chemické a biologické ochrany, v. v. i.",https://nen.nipez.cz/profil/SUJCHBO,3048
439,Obec Bdeněves,https://nen.nipez.cz/profil/ObecBdeneves,3050
440,Vojenská zdravotní pojišťovna České republiky,https://nen.nipez.cz/profil/VoZP,3060
441,Obec Stašov,https://nen.nipez.cz/profil/obecstasov,3070
442,Obec Ostroměř,https://nen.nipez.cz/profil/obecostromer,3074
443,Obec Bílá Třemešná,https://nen.nipez.cz/profil/BilaTremesna,3084
444,Obec Krhanice,https://nen.nipez.cz/profil/ObecKrhanice,3087
