id,building_number,city,country_code,latitude,longitude,postal_code,street
1246,13a,Hradec Králové,CZ,50.215633004059576,15.818020319892563,50002,Bozděchova
1247,2a,Dobronín,CZ,49.47814695886143,15.649957899390254,58812,Polenská
1248,28,Praha,CZ,50.06374183098061,14.438155784851475,14000,Boleslavova
1249,4,Praha,CZ,50.02962282438918,14.505023395914929,14900,Bartůňkova
1250,2,Praha,CZ,50.05576271152984,14.329860137231863,15500,Bavorská
1251,2,Praha,CZ,50.07870322052797,14.419686026737335,12000,Spálená
1252,21,Praha,CZ,50.08883878253106,14.423960312761617,11000,Týnská
1253,7,Plzeň,CZ,49.74497344774036,13.387716009573484,30100,Nádražní
1254,,Liptál,CZ,,,75631,
1255,15,Zvolen,SK,48.5660779,19.1232884,96001,Pod drahami
1256,42,Praha,CZ,50.08228169357008,14.451955986735951,13000,Kubelíkova
1257,11,Ústí nad Labem,CZ,50.667658640954485,14.016599335830595,40001,Na Popluží
1258,11,Praha,CZ,49.996307376817974,14.42329312012772,14300,Ploštilova
1259,2,Praha,CZ,50.13922065507163,14.480417960417412,18200,Nad Akcízem
1260,18,Praha,CZ,,,12800,Vyšehradská
1261,7,Praha,CZ,50.03989422218529,14.456693224223063,14000,Hornokrčská
1262,141c,Brno,CZ,49.162848482338646,16.628103321298777,61700,Kaštanová
1263,14,Ostrava,CZ,49.84003736810662,18.286058863511585,70200,30. dubna
1264,18,Ostrava,CZ,49.8392198906051,18.30648960958673,71000,Občanská
1265,256,Praha 10,CZ,50.076058936108346,14.524598348895427,10800,Služeb
1266,,Střížov,CZ,,,37401,
1267,24,Mostkovice,CZ,49.476064999770486,17.041052988980326,79802,Hlinická
1268,2c,Praha,CZ,50.10286541708658,14.456886614931467,17000,Jankovcova
1269,,Česká Třebová,CZ,,,56002,Tykačova
1270,17b,Praha,CZ,50.092072757920356,14.350179567626965,16200,Veleslavínská
1271,,Němčany,CZ,,,68401,
1272,51,Šlapanice,CZ,49.15627147291676,16.727295081642172,66451,Hybešova
1273,,Praha 4,CZ,,,14000,
1302,,Havlíčkův Brod,CZ,,,58001,Čechova
1303,55b,Brno,CZ,49.182955080079765,16.689280833788004,62700,Hviezdoslavova
1304,68,Brno,CZ,49.220615240554636,16.606869692771312,61200,Křižíkova
1305,34,Ostrava,CZ,49.84102855992199,18.271345876195202,702 00,Hornopolní
1306,17,Brno,CZ,49.232117097847826,16.62698174932577,63800,Haškova
1307,31,Brno,CZ,49.202612516823635,16.588735082664225,60200,Rybkova
1308,4,Praha,CZ,50.12874857222095,14.430194313767798,18100,Gdaňská
1309,70,Karlovy Vary,CZ,50.22000691414782,12.824582431068652,36006,Závodní
1310,,Pardubice,CZ,,,530 06,Františka Ventury
1311,7,Praha 4,CZ,50.0170874187313,14.431599223814509,14301,Lhotecká
1312,2,Brno,CZ,49.194596197056434,16.607675203829867,60200,Zámečnická
1313,61,Liberec,CZ,50.772246625811235,15.072696064877007,46001,Husova
1314,24,Liberec,CZ,,,46001,nám. Dr. E. Beneše
1315,35,Praha,CZ,50.08208739033155,14.453626682708531,13000,Bořivojova
1316,13,Benátky nad Jizerou,CZ,50.29616298340348,14.828836424902981,29471,Dr. Nováka
1317,3,Hradec Králové,CZ,50.19390711408811,15.856815107060601,50009,Průběžná
1318,32,Praha,CZ,50.07586583043568,14.40415559298149,15000,Štefánikova
1319,18,Praha,CZ,50.07724347805358,14.424110984716991,12000,Žitná
1320,41,Brno,CZ,49.19176678664925,16.620365358367447,60200,Špitálka
1321,,Štěnovice,CZ,,,33209,Čižická
1322,60a,Prostějov,CZ,49.47229332714191,17.123601960244635,79601,Svatoplukova
1323,230,Brno,CZ,49.19754663918476,16.5658320701901,63700,Veslařská
1324,5,Olomouc,CZ,49.600973101998406,17.250940348318572,77900,U Morávky
1325,63a,Praha,CZ,50.11493345082976,14.486612294801064,18000,Prosecká
1326,,Slavkov u Brna,CZ,,,68401,Čelakovského
1327,80,Liberec,CZ,50.74455567478938,15.036102044574701,46008,Kubelíkova
1328,38,Praha,CZ,50.08260256278691,14.420986185681157,11000,Národní
1329,,Jílové,CZ,,,40701,Mírové nám.
1330,,Holice,CZ,,,53401,Mládežnická
1331,13,Praha,CZ,50.132473453102925,14.455995324471814,18200,Petra Bezruče
1332,57,Praha,CZ,50.08349127242494,14.452014728475158,13000,Bořivojova
1333,252,Praha,CZ,50.01309423658865,14.458405018342804,14200,Libušská
1334,,Černouček,CZ,,,41301,
1335,29,Ostrava,CZ,49.823568375255384,18.242262458028737,70900,Oborného
1336,16,Ostrava,CZ,49.807849363431444,18.294691432782646,71800,Škrobálkova
1337,,Meziříčko,CZ,,,58827,
1338,,Dolní Bojanovice,CZ,,,69617,Hlavní
1339,,Hlína,CZ,,,66491,
1340,9,Ostrava,CZ,49.84471185294673,18.167125027119003,70800,Miroslava Bajera
1341,168,Jablonec nad Nisou,CZ,50.73626674174356,15.190015209070879,46602,Podhorská
1342,,Smržovka,CZ,,,46851,Husova
1343,,Lutín,CZ,,,78349,Jana Sigmunda
1344,4,Praha,CZ,50.076139869418775,14.40885730818165,15000,Nábřežní
1345,4,Teplice,CZ,50.65154197998091,13.84379936616259,41501,Československých legií
1346,,Kolín,CZ,,,28002,Pírkova
1347,20,Olomouc,CZ,49.59198813149334,17.214536723308413,77900,Keltská
1348,,Zbuzany,CZ,,,252 25,Na Sadech
1349,,Humpolec,CZ,,,39601,Nádražní
1350,10,Ostrava,CZ,49.78671773991558,18.16799519167842,72525,Jaromíra Šamala
1351,5a,Jablonec nad Nisou,CZ,50.73671073062746,15.160146823432926,46605,Želivského
1352,3,Praha,CZ,49.99122444621384,14.416404037689952,14300,Štolcova
1353,23,Praha,CZ,50.09788845275426,14.288430669488058,16100,K letišti
1354,,Chotěboř,CZ,,,58301,Žitná
1355,,Jesenice,CZ,,,25242,Krajní
1356,10,Praha,CZ,50.01104315087674,14.446487206509854,14200,K lesu
1357,506,Praha,CZ,50.092593682353815,14.318940216623897,16100,Evropská
1358,2,Brno,CZ,49.23254281792589,16.617674037143797,63800,Loosova
1359,6,Ostrava,CZ,49.82769560030324,18.257393537647715,70900,1. máje
1360,27,Ostrava,CZ,49.80792324652985,18.269101445540688,70300,Zengrova
1361,,Konice,CZ,,,79852,Za nádražím
1362,,Příkazy,CZ,,,78333,
1363,2,Prostějov,CZ,49.46526327405251,17.10238567774708,79601,Dr. Horáka
1364,,Turnov,CZ,,,51101,Přepeřská
1365,,Volary,CZ,,,38451,
1366,33,Blansko,CZ,49.361563209287844,16.652186308044495,67831,Sadová
1367,10,Brno,CZ,49.182408080508644,16.59346368645152,63900,Vinohrady
1368,,Vír,CZ,,,59266,
1369,,Havlíčkův Brod,CZ,,,58001,
1370,,Ledce,CZ,,,,
1371,,Česká Třebová,CZ,,,56002,Moravská
1372,45,Praha,CZ,50.0772840310257,14.428634759580538,11000,Žitná
1373,7,Praha 3,CZ,50.084195338533675,14.46773792309502,13000,Olšanská
1374,,Erpužice,CZ,,,,
1375,,Lázně Toušeň,CZ,,,25089,Hlavní
1376,,České Budějovice,CZ,,,37011,České Vrbné
1377,8f,Vyškov,CZ,49.294817419174834,17.0061294146355,68201,Průmyslová
1378,36,Praha,CZ,50.0500181352683,14.455073195484406,14000,Baarova
1379,,Kosmonosy,CZ,,,29306,Duhová
1380,,Slabčice,CZ,,,39847,
1381,29,Hradec Králové,CZ,50.204295920836785,15.807443431780545,50002,Opatovická
1382,28,Plzeň,CZ,49.726764463419805,13.408470431415669,32600,Slovanská alej
1383,,Mšec,CZ,,,27064,Řevničovská
1384,,Chomutov,CZ,,,43001,Polní
1385,15,Praha,CZ,50.06602345491528,14.433497477119595,12000,Na Folimance
1386,4,Prostějov,CZ,49.47269013683758,17.126692913199484,79601,Přemyslovka
1387,14,Ostrava,CZ,49.85817588690342,18.29960772544746,71200,Betonářská
1388,,Víceměřice,CZ,,,79826,
1389,4,Olomouc,CZ,49.56938318411527,17.291436197326945,77900,Průmyslová
1390,,Jimramov,CZ,,,59242,náměstí Jana Karafiáta
1391,3,Praha,CZ,50.11141630421204,14.393753639231983,16000,Podbabská
1392,50,Praha,CZ,50.046884020021956,14.466008230635321,14100,Na záhonech
1393,,Hradec Králové,CZ,,,50003,U Vody
1394,50,Praha,CZ,50.111778061498896,14.5327139120182,19800,Kbelská
1395,,Praha,CZ,,,15600,Žitavského
1396,24,Praha,CZ,50.08355475248914,14.41714469666743,11000,Konviktská
1397,65,Plzeň,CZ,49.75445426849149,13.420091923929435,31200,Lesní
1398,,Rakovník,CZ,,,26901,Družstevní
1399,51,České Budějovice,CZ,48.97835651713615,14.481040842489334,37001,Riegrova
